system:index,blue,green,landcover,latitude,longitude,ndvi,ndwi,nir,red,swir1,swir2,.geo
1_8_0,8556,9893,1,31.315944540869612,30.45949074899006,0.35916907,-0.33713022,19956,9409,13306,10089,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_0,8677,9884,1,31.33939056978513,30.474582445763268,0.32274228,-0.30621555,18609,9528,13594,10861,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_0,9396,10273,1,31.434791652958623,30.4282293771027,0.097134575,-0.11202351,12865,10587,12872,11517,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_0,9238,10074,1,31.464705551919806,30.809294720626202,0.24376762,-0.24292639,16539,10056,14111,11010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12_0,8800,9588,1,31.47279038947688,30.961828655869695,0.26686627,-0.25898448,16290,9427,13195,10267,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13_0,8452,9002,1,31.16772251898989,32.05220374773397,0.39574167,-0.37555495,19830,8585,11605,9467,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14_0,7994,8674,1,30.844329016706862,32.28369959645157,0.35787115,-0.33919933,17579,8313,11569,9423,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15_0,8231,9927,1,30.453292373529635,31.949795805344348,0.4789725,-0.4378504,25391,8945,13634,10085,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16_0,8717,10131,1,29.931011867342544,31.17041746484225,0.24160561,-0.23252907,16270,9938,13395,11014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17_0,8507,9507,1,31.204373782581968,30.524169449446667,0.34985775,-0.33251423,18979,9141,12455,9923,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18_0,8636,9507,1,30.817379558183276,31.265010064260036,0.3208996,-0.31026226,18060,9285,13642,10486,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19_0,9462,10641,1,31.437756093396217,31.627210786817027,0.28709316,-0.28205648,19002,10525,15312,12444,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20_0,8783,9637,1,31.17176493776843,31.474407356988294,0.30541193,-0.29100606,17548,9337,13767,10800,"{""type"":""MultiPoint"",""coordinates"":[]}"
